drugname,avg_rating,avg_sentiment,total_reviews,avg_useful_count,top_condition
Cambia,8.0,80.0,11,18.272727272727273,Migraine
Camila,5.25,52.5,4,3.75,Birth Control
Camphor / menthol,6.5,65.0,2,3.5,Pain
Campral,8.29,82.9,31,76.19354838709677,Alcohol Dependence
Camrese,5.68,56.8,28,4.178571428571429,Birth Control
CamreseLo,6.0,60.0,1,4.0,Birth Control
Canagliflozin,6.84,68.4,50,41.76,"Diabetes, Type 2"
Canasa,9.0,90.0,2,3.5,Crohn's Disease
Candesartan,7.25,72.5,4,12.75,Migraine Prevention
Capecitabine,8.0,80.0,1,4.0,"Breast Cancer, Metastatic"
Capsaicin,4.5,45.0,12,12.833333333333334,Pain
Capsaicin / menthol / methyl salicylate,6.0,60.0,1,1.0,Muscle Pain
Capzasin,1.0,10.0,1,43.0,Pain
Capzasin-P,1.0,10.0,1,1.0,Osteoarthritis
Carac,10.0,100.0,3,76.0,Actinic Keratosis
Carafate,2.0,20.0,2,67.0,Stomach Ulce
Carbamazepine,7.41,74.1,69,29.18840579710145,Bipolar Disorde
Carbamide peroxide,5.5,55.0,2,18.0,Ear Wax Impaction
Carbatrol,7.5,75.0,2,15.5,Epilepsy
Carbidopa / entacapone / levodopa,10.0,100.0,1,13.0,Parkinson's Disease
Carbidopa / levodopa,8.44,84.4,9,38.77777777777778,Restless Legs Syndrome
Carbinoxamine,10.0,100.0,1,5.0,Allergic Rhinitis
Carboplatin,1.0,10.0,1,2.0,Cance
Cardizem,7.33,73.3,3,101.33333333333333,High Blood Pressure
Cardizem CD,4.5,45.0,2,40.5,Supraventricular Tachycardia
Cardura,7.0,70.0,2,135.5,Benign Prostatic Hyperplasia
Cardura XL,10.0,100.0,1,61.0,Benign Prostatic Hyperplasia
Cariprazine,5.41,54.1,17,14.529411764705882,Bipolar Disorde
Carisoprodol,8.84,88.4,44,55.68181818181818,Muscle Spasm
Carmol 20,10.0,100.0,1,25.0,Dry Skin
Cartia XT,9.75,97.5,4,44.75,High Blood Pressure
Carvedilol,6.14,61.4,28,44.0,High Blood Pressure
Casodex,9.0,90.0,2,73.5,Prostate Cance
Cataflam,8.78,87.8,9,20.666666666666668,Period Pain
Catapres,8.54,85.4,13,108.6923076923077,Opiate Withdrawal
Caverject,10.0,100.0,1,85.0,Erectile Dysfunction
Caziant,10.0,100.0,1,3.0,Birth Control
Cedax,8.0,80.0,1,7.0,Sinusitis
Cefdinir,4.98,49.8,41,12.463414634146341,Sinusitis
Cefditoren,1.0,10.0,1,3.0,Tonsillitis/Pharyngitis
Cefepime,9.0,90.0,1,2.0,Skin and Structure Infection
Cefixime,7.5,75.0,2,6.5,Bladder Infection
Cefpodoxime,6.0,60.0,2,7.5,Upper Respiratory Tract Infection
Cefprozil,5.33,53.3,3,8.666666666666666,Sinusitis
Ceftibuten,10.0,100.0,1,13.0,Sinusitis
Ceftin,7.0,70.0,7,16.571428571428573,Sinusitis
Ceftriaxone,8.0,80.0,15,17.066666666666666,Urinary Tract Infection
Cefuroxime,6.89,68.9,18,26.555555555555557,Sinusitis
Cefzil,7.0,70.0,3,13.333333333333334,Bladder Infection
Celebrex,6.61,66.1,36,45.333333333333336,Osteoarthritis
Celecoxib,7.33,73.3,42,45.80952380952381,Pain
Celestone,8.0,80.0,1,14.0,Dermatological Disorders
Celexa,7.6,76.0,171,73.78947368421052,Anxiety and Stress
CellCept,9.0,90.0,7,35.42857142857143,Myasthenia Gravis
Cenestin,10.0,100.0,3,10.0,Postmenopausal Symptoms
Cephalexin,7.33,73.3,48,35.25,Bacterial Infection
Ceritinib,5.0,50.0,1,0.0,Non-Small Cell Lung Cance
Certolizumab,7.75,77.5,4,13.75,Ankylosing Spondylitis
Cervidil,8.0,80.0,1,9.0,Labor Induction
Cetirizine,7.68,76.8,41,17.097560975609756,Allergic Rhinitis
Cetirizine / pseudoephedrine,9.0,90.0,2,13.0,Allergic Rhinitis
Cetuximab,9.0,90.0,1,13.0,Squamous Cell Carcinoma
Cevimeline,1.0,10.0,2,9.0,Sjogren's Syndrome
Chantix,8.58,85.8,225,17.933333333333334,Smoking Cessation
Chaparral,9.0,90.0,1,13.0,Herbal Supplementation
Chateal,5.55,55.5,38,4.868421052631579,Birth Control
Cheratussin AC,4.83,48.3,6,22.833333333333332,Cough
Children's Claritin Allergy,5.0,50.0,1,20.0,Allergic Rhinitis
Children's Dimetapp Decongestant Infant,9.0,90.0,1,8.0,Nasal Congestion
Children's Motrin,9.0,90.0,1,8.0,Pain
Chlor-Trimeton,9.2,92.0,5,18.0,Allergic Rhinitis
Chloral hydrate,10.0,100.0,2,14.5,Insomnia
Chlorambucil,10.0,100.0,1,36.0,Chronic Lymphocytic Leukemia
Chlorcyclizine / phenylephrine,6.0,60.0,1,0.0,Nasal Congestion
Chlordiazepoxide,8.79,87.9,28,38.75,Alcohol Withdrawal
Chlordiazepoxide / clidinium,9.13,91.3,15,39.0,Irritable Bowel Syndrome
Chlorhexidine,7.78,77.8,9,23.555555555555557,Gingivitis
Chloromycetin,1.0,10.0,1,2.0,Bacterial Infection
Chlorpheniramine,9.8,98.0,5,17.0,Allergic Reactions
Chlorpheniramine / dextromethorphan,9.0,90.0,1,0.0,Cough and Nasal Congestion
Chlorpheniramine / dextromethorphan / phenylephrine,10.0,100.0,2,6.0,Cough and Nasal Congestion
Chlorpheniramine / dextromethorphan / pseudoephedrine,10.0,100.0,1,0.0,Cough and Nasal Congestion
Chlorpheniramine / hydrocodone,8.86,88.6,21,11.0,Cough
Chlorpheniramine / hydrocodone / phenylephrine,10.0,100.0,1,1.0,Cough and Nasal Congestion
Chlorpheniramine / hydrocodone / pseudoephedrine,10.0,100.0,2,11.0,Cough and Nasal Congestion
Chlorpheniramine / methscopolamine / pseudoephedrine,9.0,90.0,1,0.0,Sinus Symptoms
Chlorpheniramine / phenylephrine,9.75,97.5,4,4.5,Cold Symptoms
Chlorpheniramine / pseudoephedrine,10.0,100.0,3,6.0,Allergic Rhinitis
Chlorpromazine,6.57,65.7,7,10.857142857142858,Psychosis
Chlorthalidone,4.67,46.7,3,28.333333333333332,Edema
Chlorzoxazone,7.2,72.0,10,29.8,Muscle Spasm
Cholestyramine,8.88,88.8,17,39.11764705882353,Irritable Bowel Syndrome
Choline salicylate / magnesium salicylate,7.0,70.0,1,2.0,Pain
Chondroitin / glucosamine,5.0,50.0,3,20.0,Osteoarthritis
Chondroitin / glucosamine / methylsulfonylmethane,9.0,90.0,1,13.0,Osteoarthritis
Chorionic gonadotropin (hcg),7.75,77.5,4,16.25,Obesity
Chromium picolinate,8.5,85.0,2,32.0,"Diabetes, Type 2"
Cialis,9.0,90.0,89,56.89887640449438,Erectile Dysfunction
Ciclesonide,8.86,88.6,7,13.285714285714286,Allergic Rhinitis
Ciclopirox,7.45,74.5,11,38.63636363636363,"Onychomycosis, Toenail"
Cimetidine,9.0,90.0,1,11.0,Indigestion
Cimzia,6.88,68.8,8,26.625,"Crohn's Disease, Maintenance"
Cinacalcet,6.0,60.0,1,1.0,Secondary Hyperparathyroidism
Cinryze,7.67,76.7,3,5.666666666666667,Hereditary Angioedema
Cipro,5.78,57.8,50,47.44,Urinary Tract Infection
Ciprodex,4.4,44.0,5,7.2,Otitis Media
Ciprofloxacin,5.9,59.0,117,25.54700854700855,Urinary Tract Infection
Ciprofloxacin / dexamethasone,7.17,71.7,12,11.75,Otitis Media
Cisapride,1.0,10.0,1,5.0,GERD
Citalopram,7.38,73.8,313,45.325878594249204,Anxiety and Stress
CitraNatal 90 DHA,10.0,100.0,3,15.0,Vitamin/Mineral Supplementation during Pregnancy/Lactation
Citrate of Magnesia,10.0,100.0,1,85.0,Constipation
Citric acid / magnesium oxide / sodium picosulfate,6.27,62.7,30,6.666666666666667,Bowel Preparation
Claravis,8.87,88.7,30,16.033333333333335,Acne
Clarifoam EF,5.5,55.0,2,11.5,Acne
Clarinex,5.33,53.3,3,15.333333333333334,Allergic Rhinitis
Clarithromycin,6.02,60.2,102,14.950980392156863,Sinusitis
Claritin,6.5,65.0,2,19.0,Allergic Rhinitis
Claritin-D,6.0,60.0,8,27.0,Nasal Congestion
Claritin-D 12 Hour,1.0,10.0,1,0.0,Allergic Rhinitis
Clear Eyes Contact Lens Multi-Action Relief,2.0,20.0,1,0.0,Eye Redness
ClearLax,9.33,93.3,3,20.333333333333332,Constipation
Cleocin,6.0,60.0,3,34.0,Bacterial Infection
Climara,6.14,61.4,7,23.0,Postmenopausal Symptoms
Climara Pro,2.0,20.0,3,4.0,Postmenopausal Symptoms
Clindamax,9.0,90.0,1,38.0,Bacterial Vaginitis
Clindamycin,6.18,61.8,125,21.144,Bacterial Infection
Clindamycin / tretinoin,7.66,76.6,32,11.03125,Acne
Clindesse,3.0,30.0,1,14.0,Bacterial Vaginitis
Clobazam,2.0,20.0,2,3.0,Lennox-Gastaut Syndrome
Clobetasol,9.52,95.2,25,25.92,Psoriasis
Clobex,8.5,85.0,4,26.5,Psoriasis
Clocortolone,10.0,100.0,2,1.5,Dermatitis
Cloderm,10.0,100.0,3,7.666666666666667,Dermatitis
Clomid,7.55,75.5,11,68.27272727272727,emale Infertility
Clomiphene,7.41,74.1,17,91.29411764705883,emale Infertility
Clomipramine,7.56,75.6,32,50.53125,Obsessive Compulsive Disorde
Clonazepam,8.35,83.5,315,38.03174603174603,Anxiety
Clonidine,7.29,72.9,82,56.18292682926829,Opiate Withdrawal
Clopidogrel,7.29,72.9,7,54.0,Platelet Aggregation Inhibition
Clorazepate,9.33,93.3,6,49.5,Anxiety
Clotrimazole,5.75,57.5,4,11.0,Oral Thrush
Clozapine,8.29,82.9,7,38.57142857142857,Schizophrenia
Clozaril,9.5,95.0,2,93.5,Schizophrenia
CoQ10,10.0,100.0,1,79.0,Dietary Supplementation
Coagulation factor ix,9.0,90.0,1,0.0,Hemophilia B
Coal tar,1.0,10.0,1,2.0,Psoriasis
Coartem,10.0,100.0,1,6.0,Malaria
Cobicistat / darunavir,10.0,100.0,1,6.0,HIV Infection
Cobicistat / elvitegravir / emtricitabine / tenofovir,9.52,95.2,23,18.82608695652174,HIV Infection
Cobicistat / elvitegravir / emtricitabine / tenofovir alafenamide,8.07,80.7,14,10.071428571428571,HIV Infection
Codeine,8.0,80.0,8,17.625,Pain
Codeine / guaifenesin,6.36,63.6,14,15.5,Cough
Codeine / promethazine,5.25,52.5,8,18.375,Cough
Codimal DM,10.0,100.0,1,2.0,Cold Symptoms
Cogentin,4.67,46.7,3,25.666666666666668,Extrapyramidal Reaction
Colace,9.0,90.0,1,116.0,Constipation
Colazal,7.5,75.0,2,7.0,Ulcerative Colitis
Colchicine,8.18,81.8,11,16.0,"Gout, Acute"
Colcrys,5.8,58.0,5,20.4,"Gout, Acute"
Colesevelam,9.56,95.6,16,54.4375,"Diarrhea, Chronic"
Collagenase Santyl,7.0,70.0,1,8.0,Keratosis
Collagenase clostridium histolyticum,1.0,10.0,1,2.0,Dupuytren's contracture
Colyte,7.0,70.0,1,17.0,Bowel Preparation
Combivent,8.25,82.5,4,14.5,"COPD, Maintenance"
Combivir,2.0,20.0,1,1.0,Occupational Exposure
Commit,9.0,90.0,3,11.333333333333334,Smoking Cessation
Compazine,5.0,50.0,9,18.88888888888889,Nausea/Vomiting
Complera,8.5,85.0,10,10.0,HIV Infection
ConZip,9.0,90.0,1,19.0,Pain
Concerta,6.79,67.9,70,35.5,ADHD
Condylox,9.0,90.0,1,34.0,Condylomata Acuminata
Conjugated estrogens,8.08,80.8,13,41.07692307692308,Postmenopausal Symptoms
Conjugated estrogens / medroxyprogesterone,6.33,63.3,3,30.333333333333332,Postmenopausal Symptoms
Contrave,6.71,67.1,295,25.24406779661017,Obesity
Copaxone,8.07,80.7,29,43.03448275862069,Multiple Sclerosis
Copper,6.72,67.2,193,7.2020725388601035,Birth Control
Cordarone,1.0,10.0,1,36.0,Arrhythmia
Cordran Tape,10.0,100.0,1,3.0,Atopic Dermatitis
Coreg,7.71,77.1,7,54.0,High Blood Pressure
Coreg CR,8.0,80.0,1,17.0,Heart Failure
Coricidin HBP Cold & Flu,8.0,80.0,1,24.0,Influenza
Coricidin HBP Cough & Cold,5.33,53.3,3,9.333333333333334,Cough and Nasal Congestion
Corlanor,10.0,100.0,1,6.0,Heart Failure
Correctol,6.5,65.0,8,15.125,Constipation
Cortef,10.0,100.0,1,16.0,Adrenocortical Insufficiency
Corticotropin,6.0,60.0,4,2.25,Multiple Sclerosis
Cortisporin Otic,1.0,10.0,1,1.0,Otitis Externa
Cortizone-10,10.0,100.0,1,9.0,Pruritus
Cosentyx,8.22,82.2,9,27.444444444444443,Plaque Psoriasis
Cosopt,1.0,10.0,1,1.0,"Glaucoma, Open Angle"
Cosopt PF,7.0,70.0,1,5.0,"Glaucoma, Open Angle"
Coumadin,7.33,73.3,3,25.333333333333332,Prevention of Thromboembolism in Atrial Fibrillation
Cozaar,6.15,61.5,13,109.23076923076923,High Blood Pressure
Creon,7.67,76.7,6,20.166666666666668,Chronic Pancreatitis
Crestor,6.64,66.4,28,67.78571428571429,High Cholesterol
Crisaborole,8.83,88.3,6,17.666666666666668,Atopic Dermatitis
Crizotinib,8.0,80.0,1,28.0,Non-Small Cell Lung Cance
Cromolyn,10.0,100.0,1,0.0,Systemic Mastocytosis
Crotamiton,9.5,95.0,2,2.0,Pruritus
Cryselle,5.19,51.9,26,5.961538461538462,Birth Control
Cutivate,9.0,90.0,1,4.0,Atopic Dermatitis
Cyanocobalamin,5.33,53.3,3,11.666666666666666,Vitamin B12 Deficiency
Cyclafem 1 / 35,5.75,57.5,4,1.75,Birth Control
Cyclafem 7 / 7 / 7,6.0,60.0,1,0.0,Birth Control
Cyclessa,8.0,80.0,1,5.0,Birth Control
Cyclizine,10.0,100.0,2,10.5,Nausea/Vomiting
Cyclobenzaprine,6.52,65.2,102,26.813725490196077,Muscle Spasm
Cyclogyl,4.0,40.0,1,15.0,Uveitis
Cyclophosphamide,9.0,90.0,1,10.0,Multiple Sclerosis
Cyclosporine,6.18,61.8,22,21.5,Keratoconjunctivitis Sicca
Cyklokapron,9.0,90.0,1,10.0,actor IX Deficiency
Cylert,10.0,100.0,1,6.0,ADHD
Cymbalta,6.8,68.0,278,53.32374100719424,Depression
Cyproheptadine,8.72,87.2,39,46.69230769230769,Anorexia
Cyred,1.0,10.0,3,3.0,Birth Control
Cytomel,6.2,62.0,5,119.0,"Hypothyroidism, After Thyroid Removal"
D.H.E. 45,5.0,50.0,2,4.0,Migraine
DDAVP,9.33,93.3,3,34.666666666666664,Diabetes Insipidus
DDAVP Rhinal Tube,10.0,100.0,1,1.0,Diabetes Insipidus
Dabigatran,5.79,57.9,14,39.07142857142857,Prevention of Thromboembolism in Atrial Fibrillation
Daclatasvir,9.6,96.0,5,7.0,Hepatitis C
Daklinza,10.0,100.0,4,10.25,Hepatitis C
Dalfampridine,9.0,90.0,15,79.33333333333333,Multiple Sclerosis
Daliresp,6.71,67.1,7,41.857142857142854,COPD
Dallergy,6.0,60.0,1,0.0,Nasal Congestion
Dalmane,9.67,96.7,3,68.0,Insomnia
Danocrine,9.0,90.0,1,6.0,ibrocystic Breast Disease
Dapagliflozin,6.47,64.7,15,18.866666666666667,"Diabetes, Type 2"
Dapagliflozin / metformin,10.0,100.0,1,18.0,min)
Dapsone,7.62,76.2,47,16.21276595744681,Acne
Darbepoetin alfa,9.0,90.0,2,15.0,Anemia Associated with Chronic Renal Failure
Darifenacin,4.0,40.0,3,16.0,Urinary Incontinence
Darunavir,8.0,80.0,1,5.0,HIV Infection
Darvon,6.0,60.0,2,8.0,Pain
Dasabuvir / ombitasvir / paritaprevir / ritonavir,1.0,10.0,1,9.0,Hepatitis C
Dasatinib,8.0,80.0,3,8.333333333333334,Chronic Myelogenous Leukemia
Dasetta 7 / 7 / 7,1.0,10.0,1,2.0,Birth Control
Daypro,6.0,60.0,2,25.5,Rheumatoid Arthritis
Daytrana,8.35,83.5,17,27.235294117647058,ADHD
Deblitane,4.5,45.0,2,3.0,Birth Control
Debrox,1.0,10.0,1,4.0,Ear Wax Impaction
Decadron,8.0,80.0,1,15.0,Asthma
Deconamine,10.0,100.0,1,2.0,Allergic Rhinitis
Degarelix,10.0,100.0,1,102.0,Prostate Cance
Delatestryl,10.0,100.0,1,22.0,"Hypogonadism, Male"
Delsym,3.0,30.0,24,9.708333333333334,Cough
Delsym 12 Hour Cough Relief,1.5,15.0,2,1.0,Cough
Deltasone,9.0,90.0,2,21.5,Cluster Headaches
Demadex,10.0,100.0,1,37.0,Edema
Demerol,9.41,94.1,17,31.705882352941178,Pain
Denavir,10.0,100.0,5,8.4,Cold Sores
Denosumab,3.53,35.3,17,105.58823529411765,Osteoporosis
Deoxycholic acid,5.5,55.0,2,10.5,Submental Fullness
Depakote,6.81,68.1,43,38.83720930232558,Bipolar Disorde
Depakote ER,7.72,77.2,18,26.833333333333332,Bipolar Disorde
Deplin,7.77,77.7,13,117.38461538461539,Depression
Depo-Medrol,5.0,50.0,2,26.0,4</span> users found this comment helpful.
Depo-Provera,4.8,48.0,273,11.315018315018316,Birth Control
Depo-Provera Contraceptive,4.0,40.0,3,3.0,Birth Control
Depo-Testosterone,9.5,95.0,2,17.5,"Hypogonadism, Male"
Derma-Smoothe / FS (Scalp),10.0,100.0,1,9.0,Seborrheic Dermatitis
Dermal filler,2.62,26.2,8,16.875,acial Wrinkles
Dermatop,9.0,90.0,1,0.0,Eczema
DesOwen,10.0,100.0,2,36.0,Eczema
Desipramine,8.0,80.0,8,24.375,Depression
Desloratadine,7.0,70.0,4,3.25,Allergic Rhinitis
Desmopressin,9.38,93.8,8,7.625,von Willebrand's Disease
Desogen,3.67,36.7,3,4.666666666666667,Birth Control
Desogestrel / ethinyl estradiol,5.84,58.4,165,5.83030303030303,Birth Control
Desonide,9.38,93.8,8,12.125,Dermatitis
Desoximetasone,9.5,95.0,2,4.5,Eczema
Desoxyn,10.0,100.0,4,76.25,ADHD
Desquam-X Wash,10.0,100.0,1,34.0,Acne
Desvenlafaxine,7.05,70.5,213,33.774647887323944,Depression
Desyrel,5.29,52.9,7,48.42857142857143,Insomnia
Detrol,9.0,90.0,2,33.5,Overactive Bladde
Detrol LA,5.0,50.0,2,18.0,Overactive Bladde
Dexamethasone,5.95,59.5,21,7.428571428571429,Inflammatory Conditions
Dexamethasone / neomycin / polymyxin b,5.0,50.0,2,7.5,"Conjunctivitis, Bacterial"
Dexamethasone Intensol,1.0,10.0,1,2.0,Inflammatory Conditions
Dexbrompheniramine / pseudoephedrine,9.94,99.4,16,8.4375,Allergic Rhinitis
Dexchlorpheniramine,10.0,100.0,1,20.0,Allergic Reactions
Dexedrine,8.0,80.0,13,49.76923076923077,ADHD
Dexilant,7.07,70.7,30,40.46666666666667,GERD
Dexlansoprazole,6.97,69.7,35,31.2,GERD
Dexmethylphenidate,7.54,75.4,24,33.625,ADHD
Dextroamphetamine,8.62,86.2,32,29.84375,ADHD
Dextromethorphan,4.12,41.2,49,6.755102040816326,Cough
Dextromethorphan / guaifenesin,9.0,90.0,1,9.0,Cough
Dextromethorphan / guaifenesin / phenylephrine,1.0,10.0,1,1.0,Cough and Nasal Congestion
Dextromethorphan / guaifenesin / pseudoephedrine,8.0,80.0,1,0.0,Cough and Nasal Congestion
Dextromethorphan / phenylephrine / pyrilamine,10.0,100.0,1,1.0,Cold Symptoms
Dextromethorphan / promethazine,6.0,60.0,1,5.0,Cough
Dextromethorphan / quinidine,7.67,76.7,3,34.333333333333336,Pseudobulbar Affect
Dextrostat,9.0,90.0,2,25.5,Narcolepsy
Di-Gel,10.0,100.0,1,12.0,Gas
Diamox,6.87,68.7,15,29.066666666666666,Pseudotumor Cerebri
Diamox Sequels,7.0,70.0,1,13.0,Pseudotumor Cerebri
Diazepam,8.47,84.7,96,49.010416666666664,Anxiety
Diazepam Intensol,10.0,100.0,2,21.0,Anxiety
Diclegis,6.0,60.0,15,5.933333333333334,Nausea/Vomiting of Pregnancy
Diclofenac,7.99,79.9,135,25.725925925925925,Pain
Diclofenac / misoprostol,9.23,92.3,13,49.0,Osteoarthritis
Dicyclomine,7.82,78.2,34,46.029411764705884,Irritable Bowel Syndrome
Didrex,10.0,100.0,1,0.0,Obesity
Dienogest / estradiol,6.21,62.1,14,8.285714285714286,Birth Control
Diethylpropion,8.86,88.6,28,34.142857142857146,Obesity
Differin,7.79,77.9,43,28.930232558139537,Acne
Dificid,3.0,30.0,2,0.5,Clostridial Infection
Diflorasone,10.0,100.0,1,2.0,Eczema
Diflucan,6.57,65.7,14,41.857142857142854,Vaginal Yeast Infection
Difluprednate,5.5,55.0,4,6.75,Uveitis
Digoxin,7.33,73.3,3,47.333333333333336,Atrial Fibrillation
Dihydroergotamine,5.75,57.5,8,10.125,Migraine
Dilantin,5.6,56.0,10,16.9,Seizures
Dilaudid,8.32,83.2,68,34.955882352941174,Pain
Dilaudid-HP,10.0,100.0,2,18.0,Pain
Diltiazem,7.19,71.9,26,33.69230769230769,High Blood Pressure
Dimenhydrinate,9.5,95.0,12,26.5,Motion Sickness
Dimetapp Children's Cold & Cough,1.0,10.0,1,6.0,Cough and Nasal Congestion
Dimethyl fumarate,8.17,81.7,6,35.833333333333336,Multiple Sclerosis
Dinoprostone,3.33,33.3,3,16.333333333333332,Labor Induction
Diovan,5.8,58.0,10,65.1,High Blood Pressure
Diovan HCT,7.43,74.3,7,29.428571428571427,High Blood Pressure
Diphenhydramine,7.0,70.0,37,15.837837837837839,Insomnia
Diphenhydramine / ibuprofen,9.0,90.0,1,23.0,Insomnia
Diphenhydramine / naproxen,5.17,51.7,6,8.166666666666666,Insomnia
Diprivan,10.0,100.0,4,23.0,Anesthesia
Disalcid,9.0,90.0,1,47.0,Osteoarthritis
Disopyramide,10.0,100.0,1,10.0,Arrhythmia
Disulfiram,8.0,80.0,14,75.0,Alcohol Dependence
Ditropan,2.5,25.0,2,14.5,Overactive Bladde
Divalproex sodium,6.89,68.9,66,28.363636363636363,Bipolar Disorde
Divigel,10.0,100.0,1,57.0,Postmenopausal Symptoms
Doans Pills Extra Strength,6.0,60.0,1,4.0,Inflammatory Conditions
Dobutamine,1.0,10.0,1,0.0,Not Listed / Othe
Docosanol,5.79,57.9,56,13.125,Herpes Simplex
Docusate / senna,9.4,94.0,5,27.0,"Constipation, Acute"
Dofetilide,8.2,82.0,10,50.5,Arrhythmia
Dolobid,5.0,50.0,1,13.0,Rheumatoid Arthritis
Dolophine,9.5,95.0,6,59.833333333333336,Pain
Dolutegravir,8.8,88.0,5,3.4,HIV Infection
Donepezil,4.73,47.3,11,91.81818181818181,Alzheimer's Disease
Donnatal,10.0,100.0,7,27.428571428571427,Irritable Bowel Syndrome
Doral,10.0,100.0,1,39.0,Insomnia
Doribax,10.0,100.0,1,1.0,Urinary Tract Infection
Doripenem,10.0,100.0,1,1.0,Urinary Tract Infection
Doryx,7.9,79.0,10,31.0,Acne
Dorzolamide / timolol,9.0,90.0,1,3.0,"Glaucoma, Open Angle"
Dovonex,9.0,90.0,1,28.0,Psoriasis
Doxazosin,8.0,80.0,5,47.4,Benign Prostatic Hyperplasia
Doxepin,6.58,65.8,52,38.32692307692308,Insomnia
Doxidan Tablet,10.0,100.0,1,0.0,Constipation
Doxorubicin,10.0,100.0,1,19.0,Cance
Doxy 100,5.0,50.0,2,50.5,Lyme Disease
Doxycycline,6.86,68.6,215,18.87441860465116,Acne
Doxylamine,7.33,73.3,30,31.7,Insomnia
Doxylamine / pyridoxine,6.91,69.1,23,8.304347826086957,Nausea/Vomiting of Pregnancy
Dramamine,8.17,81.7,6,22.5,Motion Sickness
Drixoral Cold and Allergy,10.0,100.0,7,9.428571428571429,Nasal Congestion
Drixoral Decongestant Non-Drowsy,10.0,100.0,1,46.0,Nasal Congestion
Dronabinol,7.91,79.1,11,25.0,"Nausea/Vomiting, Chemotherapy Induced"
Dronedarone,4.0,40.0,1,21.0,Atrial Fibrillation
Droperidol,2.0,20.0,1,0.0,Nausea/Vomiting
Drospirenone / estradiol,8.56,85.6,9,19.0,Postmenopausal Symptoms
Drospirenone / ethinyl estradiol,6.24,62.4,294,8.833333333333334,Birth Control
Drospirenone / ethinyl estradiol / levomefolate calcium,6.14,61.4,44,8.022727272727273,Birth Control
Drysol,8.9,89.0,62,9.403225806451612,Hyperhidrosis
Duac,7.75,77.5,40,12.125,Acne
Duavee,10.0,100.0,1,15.0,Hot Flashes
Duexis,6.33,63.3,3,8.0,Osteoarthritis
Dulaglutide,6.09,60.9,68,19.676470588235293,"Diabetes, Type 2"
Dulcolax,5.42,54.2,112,12.357142857142858,Constipation
Dulcolax Laxative,4.0,40.0,4,3.5,Constipation
Dulera,7.83,78.3,12,17.583333333333332,"Asthma, Maintenance"
Duloxetine,6.56,65.6,322,41.86645962732919,Depression
Duofilm,10.0,100.0,1,0.0,Warts
Dupilumab,7.38,73.8,8,11.75,Eczema
Dupixent,8.4,84.0,5,22.4,Eczema
Duragesic,8.88,88.8,16,41.8125,Pain
Durezol,3.5,35.0,2,0.5,Uveitis
Dutasteride,5.8,58.0,5,54.0,Benign Prostatic Hyperplasia
Dutasteride / tamsulosin,4.86,48.6,7,44.57142857142857,Benign Prostatic Hyperplasia
Dyanavel XR,4.5,45.0,2,11.5,ADHD
Dyazide,9.0,90.0,1,64.0,High Blood Pressure
Dymista,6.94,69.4,16,11.0625,Allergic Rhinitis
DynaCirc CR,5.0,50.0,1,4.0,Raynaud's Syndrome
Dyrenium,8.0,80.0,1,12.0,Edema
E-Z-Gas II,10.0,100.0,1,3.0,Gas
E.E.S.-400,10.0,100.0,1,21.0,Upper Respiratory Tract Infection
Echinacea,8.75,87.5,4,8.25,Cold Symptoms
Econazole,8.75,87.5,4,10.75,Tinea Corporis
Edarbi,7.0,70.0,3,10.333333333333334,High Blood Pressure
Edarbyclor,6.33,63.3,3,20.0,High Blood Pressure
Edecrin,8.0,80.0,1,8.0,Edema
Edex,8.83,88.3,6,67.83333333333333,Erectile Dysfunction
Edluar,10.0,100.0,1,8.0,Insomnia
Edoxaban,1.0,10.0,1,4.0,Atrial Fibrillation
Efavirenz,8.0,80.0,1,1.0,HIV Infection
Efavirenz / emtricitabine / tenofovir,9.09,90.9,23,16.130434782608695,HIV Infection
Effexor,6.0,60.0,90,40.06666666666667,Depression
Effexor XR,7.02,70.2,123,40.60162601626016,Depression
Efinaconazole,5.83,58.3,24,9.875,"Onychomycosis, Toenail"
Eflornithine,8.09,80.9,23,45.26086956521739,Hirsutism
Efudex,6.56,65.6,9,58.0,Keratosis
Egrifta,7.0,70.0,1,2.0,Lipodystrophy
Elavil,7.79,77.9,39,88.7948717948718,Migraine Prevention
Elbasvir / grazoprevir,9.12,91.2,8,15.625,Hepatitis C
Eldepryl,10.0,100.0,1,31.0,Parkinson's Disease
Elestrin,7.0,70.0,1,24.0,Postmenopausal Symptoms
Eletone,1.0,10.0,1,0.0,Dry Skin
Eletriptan,9.19,91.9,32,10.1875,Migraine
Elidel,4.71,47.1,7,6.0,Eczema
Eligard,8.0,80.0,3,32.333333333333336,Prostate Cance
Eliquis,4.71,47.1,14,39.5,Prevention of Thromboembolism in Atrial Fibrillation
Elmiron,8.36,83.6,11,33.81818181818182,Interstitial Cystitis
Elocon,9.67,96.7,15,26.866666666666667,Eczema
Eltrombopag,10.0,100.0,3,18.333333333333332,Aplastic Anemia
Eluxadoline,6.44,64.4,34,20.058823529411764,Irritable Bowel Syndrome
Embeda,5.15,51.5,13,28.23076923076923,Chronic Pain
Emend,10.0,100.0,2,12.5,"Nausea/Vomiting, Chemotherapy Induced"
Emetrol,7.5,75.0,2,9.0,Nausea/Vomiting
Emollients,6.5,65.0,6,15.333333333333334,Dry Skin
Emoquette,9.0,90.0,1,5.0,Birth Control
